"SRAM 对象","DeepSeek 结构假设 MiB/卡","GLM 结构假设 MiB/卡","K3 项目口径 MiB/卡","容量公式","用途","生命周期 / 复用","架构约束"
"需求权重 A/B","16.000000","16.000000","16.000000","2 × 8 MiB","投影、W_O、Router、专家、共享专家按 tile 流式消费","DMA 填充→MAC 最后读取→释放；A/B 可跨算子复用","固定双缓冲池；8 MiB/tile 是设计选择，不是推导出的带宽最优值"
"未来两层预测专家","76.500000","153.000000","133.875000","D × min(E,BK) × 3IF × (17/32) / TP","当前层以外的两层完整专家集合","预测写→路由确认→消费/淘汰；DMA 未完成不可覆盖","可抢占；只缓存压缩权重，不额外保存整份解码副本"
"Attention KV A/B","36.000000","16.000000","36.000000","2 × B × T × d_KV × 2 bytes","KV tile 双缓冲，不存整个 1M 上下文","当前 tile 的 QK 和 PV 都结束后复用","可与 MoE scratch 跨阶段复用；不保证跨 MC 共享"
"新增 KV 写回","0.008789","0.003906","0.008789","B × d_KV × 2 bytes","新增 token KV 的持久写回源","store ACK 前保留","小型 writeback pool；未计多个未完成 step"
"Query","0.011719","0.007813","0.008789","B × h_local × d_Q × 2 bytes","Attention 各 context tile 重复读取 Q","投影产生→最后一个 Attention tile 结束","可在 Attention 完成后归还 scratch"
"Score / probability","0.500000","0.500000","0.375000","2 × B × h_local × T × 4 bytes","非原位 FP32 score/probability 双数组","每个 QK→softmax→PV tile 循环","两份都计；融合原位实现可降低"
"O / max / sum","0.015869","0.015869","0.011902","B × h_local × (d_V+2) × 4 bytes","Attention FP32 输出累加和在线 softmax 统计","跨 KV tile 保留→LSE/O projection 消费完","与最终输出布局/重排另行核对"
"Residual / norm","0.250000","0.250000","0.218750","2 × B × H × 2 bytes","两个 BF16 hidden-size 缓冲","保留 skip 输入及 norm/新 residual；add 后交换","假定原位 residual add；非原位实现可能多需一份"
"Router / 路由索引","0.016602","0.008789","0.029297","B × E × 4 + BK × 16 bytes","FP32 router logits 和 Top-k 元数据","Router→dispatch→weighted merge 完成","16 byte/assignment 是描述符设计假设"
"Dispatch 激活","0.500000","1.000000","0.875000","BK × I × 2 bytes","按专家整理的输入激活","打包→gate/up 最后一次读取","TP 本地打包；不是 EP all-to-all 完整预算"
"Expert gate/up/hidden","0.035156","0.035156","0.070313","3 × BK × ceil(F/TP) × 2 bytes","gate、up、激活结果三份分片张量","gate/up→SiLU×up→down","串行处理；其他 TP 切分方式需重算"
"Expert 输出","1.000000","2.000000","1.750000","BK × I × 4 bytes","每条 token-expert assignment 的 FP32 输出","down→加权 merge 完成","按未分片输出保守计，不与 hidden 默认 alias"
"共享专家 scratch","0.254395","0.254395","0.223145","3B × ceil(F/TP) × 2 + BH × 4 bytes","共享专家三个中间张量和输出","本调度串行执行 shared 分支","与 routed scratch 可复用；并行执行需加算重叠"
"通信 send/recv","0.500000","0.500000","0.437500","max(2BH × 4, 2 × S_AttnStats)","一次 TP reduction 或 LSE 合并的两个缓冲","NIC/DMA completion + 消费者结束再释放","单 outstanding collective；多通道/多请求按并发重算"
"线性 Attention 状态 A/B","0.000000","0.000000","1.500000","2 × B × h_local × stateDim² × 2 bytes","当前与下一线性层 BF16 状态搬入/写回","读入→更新→store ACK 后复用","仅 K3；状态主体在外部存储，不是 69 层全部常驻"
"线性 Attention FP32 更新","0.000000","0.000000","1.500000","B × h_local × stateDim² × 4 bytes","当前线性层状态更新工作区","当前层状态更新→转 BF16→写回","仅 K3；和 BF16 A/B 独立计数；实际 kernel 需回标"
"控制与元数据","1.000000","1.000000","1.000000","1 MiB 固定预留","DMA 描述符、引用计数、generation、allocator 表等","池级长驻","工程预留，需按队列深度、tile 数和 ECC 状态表回标"
